vvento,N,ang_virab,pressao,VPP
"3,5","13,73","1,44863225","0,00247213","0,4750"
"3,5","13,73","1,46101372","0,00306805","0,4750"
"3,5","13,73","1,47339520","0,00377547","0,4750"
"3,5","13,73","1,48577667","0,00457516","0,4750"
"3,5","13,73","1,49815814","0,00548635","0,4750"
"3,5","13,73","1,51053961","0,00652441","0,4750"
"3,5","13,73","1,52292108","0,00768935","0,4750"
"3,5","13,73","1,53530256","0,00898885","0,4750"
"3,5","13,73","1,54768403","0,01041138","0,4750"
"3,5","13,73","1,56006550","0,01198001","0,4750"
"3,5","13,73","1,57244697","0,01371011","0,4750"
"3,5","13,73","1,58482845","0,01559016","0,4750"
"3,5","13,73","1,59720992","0,01765090","0,4750"
"3,5","13,73","1,60959139","0,01987697","0,4750"
"3,5","13,73","1,62197286","0,02229143","0,4750"
"3,5","13,73","1,63435433","0,02487889","0,4750"
"3,5","13,73","1,64673581","0,02764706","0,4750"
"3,5","13,73","1,65911728","0,03059592","0,4750"
"3,5","13,73","1,67149875","0,03374087","0,4750"
"3,5","13,73","1,68388022","0,03710111","0,4750"
"3,5","13,73","1,69626170","0,04069204","0,4750"
"3,5","13,73","1,70864317","0,04451365","0,4750"
"3,5","13,73","1,72102464","0,04857363","0,4750"
"3,5","13,73","1,73340611","0,05286428","0,4750"
"3,5","13,73","1,74578758","0,05741638","0,4750"
"3,5","13,73","1,75816906","0,06220684","0,4750"
"3,5","13,73","1,77055053","0,06722414","0,4750"
"3,5","13,73","1,78293200","0,07242599","0,4750"
"3,5","13,73","1,79531347","0,07779316","0,4750"
"3,5","13,73","1,80769495","0,08333333","0,4750"
"3,5","13,73","1,82007642","0,08901961","0,4750"
"3,5","13,73","1,83245789","0,09478278","0,4750"
"3,5","13,73","1,84483936","0,10069589","0,4750"
"3,5","13,73","1,85722083","0,10685890","0,4750"
"3,5","13,73","1,86960231","0,11327182","0,4750"
"3,5","13,73","1,88198378","0,11989619","0,4750"
"3,5","13,73","1,89436525","0,12680123","0,4750"
"3,5","13,73","1,90674672","0,13401769","0,4750"
"3,5","13,73","1,91912820","0,14150711","0,4750"
"3,5","13,73","1,93150967","0,14925413","0,4750"
"3,5","13,73","1,94389114","0,15728950","0,4750"
"3,5","13,73","1,95627261","0,16566321","0,4750"
"3,5","13,73","1,96865408","0,17427912","0,4750"
"3,5","13,73","1,98103556","0,18324491","0,4750"
"3,5","13,73","1,99341703","0,19259131","0,4750"
"3,5","13,73","2,00579850","0,20230681","0,4750"
"3,5","13,73","2,01817997","0,21234141","0,4750"
"3,5","13,73","2,03056145","0,22256824","0,4750"
"3,5","13,73","2,04294292","0,23313341","0,4750"
"3,5","13,73","2,05532439","0,24399462","0,4750"
"3,5","13,73","2,06770586","0,25509804","0,4750"
"3,5","13,73","2,08008733","0,26653210","0,4750"
"3,5","13,73","2,09246881","0,27826605","0,4750"
"3,5","13,73","2,10485028","0,29026528","0,4750"
"3,5","13,73","2,11723175","0,30257978","0,4750"
"3,5","13,73","2,12961322","0,31519031","0,4750"
"3,5","13,73","2,14199470","0,32808535","0,4750"
"3,5","13,73","2,15437617","0,34126105","0,4750"
"3,5","13,73","2,16675764","0,35469435","0,4750"
"3,5","13,73","2,17913911","0,36840830","0,4750"
"3,5","13,73","2,19152058","0,38237601","0,4750"
"3,5","13,73","2,20390206","0,39658593","0,4750"
"3,5","13,73","2,21628353","0,41106882","0,4750"
